name,locality,numberOfYear12SubjectsTakenByStudents,numberOfVetCertificatesWith2016Enrolments,numberOfStudentsEnrolledInYear12Units,numberOfStudentsEnrolledInVet,numberOfStudentsEnrolledInVcal,percentageVceStudentsApplyingForTertiaryPlaces,percentageSatisfactoryVceCompletions,numberOfStudentsAwardedVceBaccalaureate,percentageVetUnitsOfCompetencyCompleted,percentageVcalUnitsCompleted,medianVceStudyScore,percentageStudyScores40AndMore,rank,numberOfYear12SubjectsTakenByStudentsChange,numberOfVetCertificatesWith2016EnrolmentsChange,numberOfStudentsEnrolledInYear12UnitsChange,numberOfStudentsEnrolledInVetChange,numberOfStudentsEnrolledInVcalChange,percentageVceStudentsApplyingForTertiaryPlacesChange,percentageSatisfactoryVceCompletionsChange,numberOfStudentsAwardedVceBaccalaureateChange,percentageVetUnitsOfCompetencyCompletedChange,percentageVcalUnitsCompletedChange,medianVceStudyScoreChange,percentageStudyScores40AndMoreChange,rankChange
Donald High School,Donald,21,10,37,19,30,90,100,NA,87,93,28,3.8,303,-2,-3,3,-8,-9,11,0,NA,19,0,0,1.2,18
Doncaster Secondary College,Doncaster,57,26,353,43,33,84,100,19,78,92,29,5.3,225,12,3,25,11,6,-8,2,0,-20,-2,0,0.2,13
Donvale Christian College,Donvale,40,10,176,23,NA,91,100,14,92,NA,33,11.1,74,-2,-4,-19,-1,NA,1,0,8,10,NA,0,0.4,5
Dromana Secondary College,Dromana,47,28,211,156,116,77,100,5,97,100,30,4.8,195,3,1,28,30,11,1,1,-1,0,0,-2,-2.7,-84
Drouin Secondary College,Drouin,50,28,161,129,65,76,95,NA,98,85,28,3,314,2,3,-20,-13,-14,-7,-5,NA,-1,-9,1,0.8,71
East Doncaster Sec College,Doncaster East,60,38,394,71,23,98,99,35,100,95,32,9,105,1,8,24,11,5,3,0,-5,2,-5,0,-2.6,-14
East Loddon P-12 College,Dingee,21,9,23,18,9,80,100,1,52,73,31,1.9,160,0,0,-6,3,-3,-5,0,NA,-22,-17,1,0.5,50
East Preston Islamic College,East Preston,16,10,54,64,17,100,100,NA,94,95,24,0.9,491,3,0,21,3,-4,0,0,NA,-5,0,0,0.9,8
Echuca College,Echuca,26,11,148,147,20,60,92,NA,79,100,26,1.3,427,-6,-4,-23,-28,-14,3,-6,NA,-4,4,0,-0.8,-4
Edenhope College,Edenhope,11,7,18,13,10,89,100,NA,0,58,25,0,474,-8,-8,-4,-14,-8,11,0,NA,-83,-8,-4,0,-191
Edinburgh College,Lilydale,22,11,31,17,NA,95,100,NA,90,NA,30,4.2,200,3,-1,1,-11,NA,33,0,NA,5,NA,-1,-2.3,-50
Education Centre Gippsland,Warragul,17,25,40,99,121,NA,NA,NA,59,39,NA,NA,551,1,3,26,26,-9,NA,NA,NA,-16,-4,NA,NA,-4
Elisabeth Murdoch College,Langwarrin,73,45,305,320,123,65,100,NA,90,89,28,4.1,296,7,-6,-13,-40,-49,-2,2,NA,2,3,1,0.9,64
Eltham College,Research,47,15,128,90,NA,95,100,9,93,NA,33,15.3,64,3,-2,-32,6,NA,-1,0,5,-6,NA,1,1.3,20
Eltham High School,Eltham,50,27,244,107,20,60,99,3,90,94,28,5.5,279,-5,2,-26,-1,0,-14,1,-10,2,-6,-1,0.3,-43
Elwood College,Elwood,38,12,137,24,NA,77,92,5,89,NA,30,7.4,175,2,1,16,4,NA,19,-2,0,6,NA,0,0.1,-6
Emerald Secondary College,Emerald,47,29,132,83,55,72,96,3,86,83,28,7.3,276,-2,-4,-8,-19,-9,-13,0,0,4,-6,0,4.2,34
Emmanuel College,Altona North,47,30,384,192,67,92,98,6,84,93,30,5.9,180,2,8,20,-6,21,7,-2,-4,-4,-6,1,2.2,87
Emmanuel College,Warrnambool,44,22,262,115,17,84,99,4,100,82,28,4.3,289,2,-2,-9,8,-5,14,1,1,0,4,1,0.6,69
Emmaus College,Vermont South,57,30,303,47,19,88,99,9,91,94,31,7.2,142,3,7,14,0,5,2,-1,5,-7,-6,1,1.1,40
Epping Secondary College,Epping,70,40,228,180,136,91,96,2,79,85,28,3.4,309,21,7,42,75,29,4,3,0,0,-3,0,-0.3,-7
Essendon Keilor College,Essendon,38,16,162,75,26,85,96,9,92,97,25,1.8,460,0,4,-33,13,5,-11,-1,-1,3,0,0,0.1,4
Euroa Secondary College,Euroa,42,22,85,60,24,62,97,NA,89,81,24,1.7,485,0,0,-13,-25,-9,-4,4,NA,6,-1,-2,-2.2,-72
F.C.J. College,Benalla,32,15,72,72,15,44,98,NA,91,96,28,2.1,324,2,-3,-16,-10,-2,-24,0,NA,-5,3,0,-1.3,-19
Fairhills High School,Knoxfield,53,31,151,149,33,73,96,2,71,67,26,3.2,406,-5,-6,-23,-39,-18,4,3,1,-10,-2,-1,0.9,-26
Federation Training,Newborough,17,28,43,199,173,33,67,NA,68,70,24,0,503,-2,0,-1,2,20,20,25,NA,-4,-11,2,0,19
Federation University Australia,Ballarat,11,16,43,178,199,NA,NA,NA,94,100,NA,NA,552,3,-7,16,-38,-20,NA,NA,NA,8,0,NA,NA,-4
Fintona Girls School,Balwyn,27,1,82,Less than 4,NA,100,100,21,ID,NA,36,29.8,9,0,NA,-9,NA,NA,4,0,2,NA,NA,1,7.8,25
Firbank Grammar School,Brighton,39,7,229,20,NA,100,100,30,81,NA,35,22.7,29,-1,2,-7,13,NA,2,1,-3,-7,NA,0,-2.2,0
Fitzroy High School,Fitzroy North,48,25,127,57,29,98,100,2,75,73,29,3.5,248,-3,-1,14,-16,0,2,0,1,-2,2,-1,-1.2,-52
Flinders Christian Comm College,Carrum Downs,40,21,112,38,20,90,100,1,85,92,31,6.6,149,-9,-5,-27,-4,4,5,0,0,-9,5,-1,-0.3,-36
Flinders Christian Comm College,Tyabb,43,22,151,65,15,82,100,2,99,100,30,5.3,188,4,5,9,14,0,3,0,0,-1,3,1,0.3,53
Footscray City College,Footscray,48,12,152,76,30,72,99,7,83,96,30,9.1,166,1,4,-16,11,-5,-8,0,4,19,7,1,4.4,82
Forest Hill College,Burwood East,35,8,144,48,NA,94,96,2,88,NA,26,2.6,409,0,-2,-4,11,NA,0,-3,0,-3,NA,1,0.7,51
Foster Secondary College,Foster,23,11,64,32,15,54,89,NA,66,78,25,2.5,456,-8,-1,-11,-13,2,-38,-11,NA,-9,8,-2,-1,-97
Fountain Gate Sec College,Fountain Gate,46,19,182,119,NA,73,96,1,68,NA,27,1.5,384,-4,-1,23,-1,NA,-4,-3,NA,-21,NA,-1,0,-51
Frankston High School,Frankston,64,31,481,144,NA,74,99,19,93,NA,32,11.8,87,-5,5,-17,-8,NA,-3,-1,3,5,NA,1,2.5,38
Galen College,Wangaratta,53,36,273,215,81,78,100,1,88,90,29,1.9,268,5,6,20,-1,5,-10,0,0,1,-4,-1,-2.3,-69
Geelong Baptist College,Lovely Banks,24,11,41,23,10,100,100,NA,94,96,25,0,475,-1,-1,11,0,2,15,0,NA,-2,-4,-1,-4,-63
Geelong Grammar School,Corio,37,1,206,Less than 4,NA,86,99,22,ID,NA,31,6.9,146,1,-3,-13,NA,NA,6,0,20,NA,NA,0,-1.3,-9
Geelong High School,East Geelong,54,30,176,80,13,47,99,1,89,95,26,2.4,411,1,-1,-12,4,0,-1,2,0,-6,1,1,1.1,58
Geelong Lutheran College,Armstrong Creek,33,21,65,28,7,94,100,2,97,100,29,2.6,263,-2,2,3,-7,0,4,0,0,-2,0,0,-2.2,-18
Genazzano F.C.J. College,Kew,42,4,255,4,NA,99,100,25,89,NA,35,20.5,33,1,-2,-31,-4,NA,0,0,-16,-2,NA,0,-1.5,2
Gilmore College For Girls,Footscray,16,NA,37,NA,NA,94,100,1,NA,NA,27,1.2,387,-7,NA,-12,NA,NA,-6,0,-1,NA,NA,-2,-6.2,-170
Gilson College,Taylors Hill,34,8,108,150,NA,83,99,6,96,NA,28,4.9,283,2,2,2,59,NA,-1,-1,4,-2,NA,1,1.7,78
Gippsland Grammar,Sale,38,13,163,50,13,87,100,10,100,100,31,7.3,141,-2,-2,-10,6,0,-5,0,2,2,5,-1,-4,-49
Girton Grammar School,Bendigo,46,5,249,24,NA,92,100,14,80,NA,32,11.6,88,3,0,8,5,NA,-7,0,5,-17,NA,-2,-5,-35
Gisborne Secondary College,Gisborne,56,25,219,98,35,77,100,3,74,68,27,2.4,370,-2,-1,-30,-21,3,2,2,-2,-4,-17,1,0.4,54
Gladstone Park Sec College,Gladstone Park,44,21,328,112,76,95,98,7,93,98,28,4.3,290,3,3,10,26,-3,-3,-2,-1,3,0,-1,-0.4,-41
Glen Eira College,Caulfield East,50,21,137,42,NA,97,100,7,95,NA,29,6.6,215,5,2,1,2,NA,2,1,-2,1,NA,0,1.5,24
Glen Waverley Sec College,Glen Waverley,66,23,609,86,NA,96,100,87,94,NA,33,15,66,1,3,-40,-9,NA,3,0,-17,-2,NA,0,-0.9,-2
Gleneagles Secondary College,Endeavour Hills,51,16,257,59,NA,85,99,7,84,NA,29,5.8,221,-4,1,17,14,NA,-7,3,4,4,NA,1,2.9,95
Glenroy Neighbourhood Centre,Glenroy,NA,4,NA,19,20,NA,NA,NA,9,21,NA,NA,553,NA,1,NA,-3,0,NA,NA,NA,-6,-17,NA,NA,-4
Glenroy Secondary College,Glenroy,25,14,82,25,54,67,97,3,58,80,23,2.2,511,-5,-2,1,-12,-9,-12,6,NA,1,6,1,0.7,6
Glenvale School,Epping,15,3,118,179,NA,0,100,NA,100,NA,32,10.3,97,1,0,10,2,NA,0,2,NA,1,NA,0,-2.7,-10
Good News Lutheran College,Tarneit,23,3,42,4,NA,71,97,NA,93,NA,22,3.4,520,0,1,-10,NA,NA,-19,-3,NA,NA,NA,-3,2.8,-43
Good Shepherd College,Hamilton,19,10,15,14,NA,67,100,NA,54,NA,29,3.6,247,3,1,4,5,NA,17,0,NA,-7,NA,-1,-0.2,-46
Gordon Institute of TAFE,Geelong,41,44,124,182,191,48,93,NA,61,59,22,0,527,6,5,-25,-15,-27,6,-1,NA,7,-6,-2,0,-27
Goroke P-12 College,Goroke,10,8,10,8,9,100,100,NA,83,100,28,0,333,-7,2,-8,1,4,10,0,NA,-17,0,-1,-7.4,-115
Goulburn Ovens Inst of TAFE,Shepparton,9,26,28,151,158,NA,NA,NA,64,71,NA,NA,554,-7,4,-6,21,31,NA,NA,NA,-6,8,NA,NA,-3
Goulburn Valley Grammar Schl,Shepparton,37,2,161,Less than 4,NA,90,100,10,ID,NA,34,22,41,9,0,14,NA,NA,-7,0,1,NA,NA,0,4.8,10
Greensborough Sec College,Greensborough,46,27,128,109,44,88,97,NA,78,93,27,5.8,341,6,3,-20,-37,-35,4,-1,NA,15,22,-1,2.8,-29
Grovedale College,Grovedale,41,25,138,116,34,58,100,NA,93,92,26,3.8,401,4,1,-14,19,3,-3,0,NA,0,-5,-1,-0.8,-50
Haileybury College,Keysborough,49,4,477,38,NA,92,100,62,100,NA,35,23.5,25,-1,-4,2,-1,NA,4,0,16,4,NA,0,-2.6,2
Haileybury Girls College,Keysborough,50,8,321,28,NA,98,100,45,100,NA,36,30.1,8,3,4,-12,13,NA,0,0,0,14,NA,0,0.6,2
Haileybury Rendall School,Berrimah,4,7,12,17,16,NA,NA,NA,80,83,33,18.2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hallam Senior Sec College,Hallam,51,32,338,516,265,69,93,NA,98,88,22,0.4,525,-2,2,-10,-20,-3,7,3,NA,1,2,1,0.2,4
Hampton Park Sec College,Hampton Park,50,32,219,118,94,90,99,8,94,74,26,0.8,437,3,1,14,-19,-1,2,0,5,-1,-6,1,0.1,38
Hawkesdale College,Hawkesdale,18,8,17,14,10,67,100,NA,100,99,27,0,393,-6,-5,-14,-6,-4,20,6,NA,0,3,2,0,88
Healesville High School,Healesville,30,20,87,62,45,65,94,NA,82,79,25,3,453,-10,-2,10,-4,2,5,-3,NA,-6,-13,1,1.6,33
Heathdale Christian College,Werribee,47,15,120,121,13,97,99,6,94,100,29,5.7,223,7,0,25,1,4,-3,-1,3,0,0,0,-0.8,-3
Heatherton Christian College,Clarinda,23,6,46,31,NA,79,100,1,93,NA,29,5.3,226,0,0,-2,-4,NA,12,0,0,-7,NA,-2,-8.4,-111
Heathmont College,Heathmont,36,20,91,28,27,74,97,1,97,81,26,0.9,433,6,3,17,2,2,-11,2,NA,3,7,-2,-2.3,-126
Heritage College,Officer,24,13,24,16,14,83,100,NA,82,93,29,3.2,252,5,4,-9,5,2,26,0,NA,-1,3,3,0.9,169
Hester Hornbrook Academy,South Melbourne,6,20,6,140,186,NA,NA,NA,28,12,NA,NA,555,0,2,2,35,-5,NA,NA,NA,4,-7,NA,NA,-3
Heywood & District Sec College,Heywood,22,13,30,27,18,46,100,NA,92,69,24,0,504,-3,4,-5,8,2,-23,0,NA,3,-8,2,-1.6,12
Highvale Secondary College,Glen Waverley,34,2,220,Less than 4,NA,86,97,20,ID,NA,31,7.8,138,-6,-4,-30,NA,NA,-1,1,3,NA,NA,2,3.5,117
Highview Christian Comm College,Maryborough,23,7,68,71,NA,81,100,NA,99,NA,30,3.8,204,-10,-1,-7,-1,NA,6,2,NA,1,NA,3,-1,144
Hillcrest Christian College,Clyde North,39,8,151,24,NA,74,98,1,89,NA,29,4.1,240,1,-1,7,-4,NA,-12,-1,-4,-4,NA,0,-2.3,-19
Holmes Secondary College,Melbourne,8,1,16,30,30,93,86,3,53,53,28,6.5,277,0,0,2,-15,-15,10,-6,2,13,13,2,6.5,167
Holmesglen Institute of TAFE,Moorabbin,18,28,56,194,254,NA,NA,NA,69,66,NA,NA,556,0,0,-20,-25,6,NA,NA,NA,3,-3,NA,NA,-2
Holmesglen Institute of TAFE,Holmesglen,1,8,Less than 4,31,31,NA,ID,NA,99,97,ID,ID,557,0,1,NA,-9,-9,NA,NA,NA,-1,-3,NA,NA,-4
Holy Trinity Lutheran College,Horsham,5,6,11,8,NA,NA,NA,NA,100,NA,33,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hopetoun P-12 College,Hopetoun,20,10,15,9,9,44,100,NA,95,89,28,2.3,322,-3,1,-3,1,3,-16,0,NA,-5,3,1,2.3,84
Hoppers Crossing Sec College,Hoppers Crossing,57,29,241,136,44,71,98,2,75,95,27,3.7,351,-1,2,11,-5,3,-2,-1,-2,-8,-3,-1,-1.2,-60
Horsham College,Horsham,41,25,144,126,38,72,95,1,96,76,30,5.7,181,-3,0,-4,-7,-4,-1,-1,-3,0,40,1,-0.7,41
Hume Anglican Grammar,Mickleham,22,1,64,Less than 4,NA,92,100,NA,ID,NA,28,4.4,286,2,NA,7,NA,NA,2,0,NA,NA,NA,0,2.1,38
Hume Central Sec College,Broadmeadows,43,20,187,111,79,91,90,1,91,66,26,3.6,404,6,-4,32,6,2,-5,-10,NA,-9,-14,3,1.7,100
Huntingtower School,Mount Waverley,36,5,174,5,NA,100,100,17,100,NA,37,33.9,3,2,1,9,1,NA,1,0,-7,7,NA,0,3.9,3
Ilim College,Broadmeadows,17,NA,118,NA,NA,91,99,2,NA,NA,28,3.2,311,-1,NA,18,NA,NA,-3,1,-1,NA,NA,-1,-4.6,-96
Ilim College Boys Campus,Dallas,18,NA,54,NA,NA,79,92,1,NA,NA,27,0.6,390,1,NA,-13,NA,NA,-12,-8,0,NA,NA,-1,-3.2,-89
Islamic College of Melbourne,Tarneit,12,NA,21,NA,NA,95,100,NA,NA,NA,26,2.2,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivanhoe Girls' Grammar School,Ivanhoe,45,10,261,110,NA,98,100,24,78,NA,34,17.7,49,7,3,-15,-8,NA,-1,0,4,0,NA,0,-1.9,-1
Ivanhoe Grammar School,Ivanhoe,37,4,293,45,NA,94,99,38,92,NA,34,15.5,57,1,2,-16,-5,NA,6,0,17,-8,NA,1,2.3,16
Ivanhoe Grammar School,Mernda,31,3,129,Less than 4,NA,98,100,7,ID,NA,33,11.6,72,-4,-1,0,NA,NA,-2,0,1,NA,NA,-1,-4.7,-18
John Fawkner College,Fawkner,20,13,71,125,40,65,97,NA,74,58,23,0.6,515,5,5,11,-30,-26,-13,12,NA,-2,-10,-2,-1.3,-54
John Monash Science School,Clayton,42,4,423,4,NA,99,100,52,87,NA,34,14.7,59,-3,3,13,NA,NA,1,0,-9,NA,NA,0,-2.1,-7
John Paul College,Frankston,38,29,192,92,29,85,100,1,77,94,28,4.2,291,-9,1,-21,31,3,-4,0,-1,-14,-3,0,1,17
Kambrya College,Berwick,68,33,245,218,119,77,96,3,92,90,29,3.1,253,-1,-4,10,-40,-19,3,-1,-2,4,7,-1,-0.2,-48
Kangan Institute of TAFE,Broadmeadows,23,33,51,213,225,17,48,NA,61,46,19,0,533,-8,-4,-35,-28,-3,-16,-33,NA,0,-10,0,0,-1
Kaniva P-12 College,Kaniva,15,11,21,16,26,20,100,NA,96,72,28,0,334,-6,-2,1,-1,4,-5,0,NA,16,4,-2,-4.8,-139
Kardinia Internatl College,Bell Post Hill,46,14,284,21,NA,90,100,12,91,NA,31,12.7,117,3,-5,-7,-5,NA,0,0,-2,-8,NA,0,3.3,5
Keilor Downs College,Keilor Downs,57,30,255,173,68,94,99,17,82,75,30,7.6,172,-6,-2,10,14,-12,1,-1,4,1,-12,1,1.7,56
Kensington Comm High School,Kensington,3,9,Less than 4,33,40,NA,ID,NA,43,48,ID,ID,558,-1,-1,NA,-9,4,NA,NA,NA,-10,-12,NA,NA,-3
Kerang Christian College,Kerang,14,NA,16,NA,NA,55,100,NA,NA,NA,24,0,505,-5,NA,-4,NA,NA,-37,0,NA,NA,NA,-3,0,-98
Kerang Technical High School,Kerang,22,8,65,53,NA,65,95,NA,69,NA,26,0,443,-7,-3,-10,0,NA,25,4,NA,1,NA,0,-2.6,-23
Kew High School,Kew East,50,14,313,55,NA,88,100,27,96,NA,31,10,124,-1,-1,-24,-15,NA,4,1,2,-3,NA,1,2.1,43
Keysborough SC - Acacia,Keysborough,49,22,150,71,37,99,99,4,83,94,28,3.7,306,1,1,14,25,3,2,3,1,6,10,1,1.3,72
Keysborough SC - Banksia,Springvale South,47,20,217,78,39,96,98,9,62,86,26,3.1,407,0,-2,30,12,-7,-2,-1,1,0,18,-2,0.1,-94
Kilbreda College,Mentone,49,16,242,101,25,94,98,8,69,96,31,7.1,145,7,0,-25,24,6,6,-2,-2,-28,-4,1,-0.2,25
Killester College,Springvale,46,15,221,94,21,92,98,19,96,100,30,5.7,182,-7,-5,-8,-14,-5,-4,-2,2,10,2,-1,-1.5,-36
Kilvington Grammar School,Ormond,40,7,143,7,NA,100,100,16,89,NA,35,18.2,37,3,1,-13,-2,NA,0,0,0,0,NA,0,-4,-4
Kings College,Warrnambool,16,5,24,6,NA,63,100,1,86,NA,28,4.2,292,-1,-1,1,0,NA,8,0,0,-14,NA,-3,-3.2,-147
Kingswood College,Box Hill,33,10,67,79,NA,88,100,5,100,NA,32,8.9,106,-4,-2,-74,-22,NA,-9,0,2,0,NA,0,0.8,2
Kolbe Catholic College,Greenvale,35,17,143,265,43,98,100,1,81,96,26,1.2,430,2,0,-11,6,-6,4,1,NA,-4,2,0,-0.7,-3
Koo Wee Rup Sec College,Koo Wee Rup,47,35,147,142,87,94,96,NA,90,93,29,2.5,264,6,8,-50,4,-1,13,-1,NA,5,11,1,1.4,71
Koonung Secondary College,Mont Albert North,49,19,240,36,NA,91,99,23,92,NA,32,10.8,94,-1,3,-12,-6,NA,6,-1,4,-6,NA,1,1.9,36
Korowa Anglican Girls' School,Glen Iris,34,6,149,6,NA,98,100,30,90,NA,36,27.5,13,-2,0,18,-2,NA,-2,0,4,-10,NA,-1,-1.5,-6
Korumburra Sec College,Korumburra,19,11,46,29,22,66,100,NA,93,73,27,5.5,342,0,-4,-3,5,-5,7,12,NA,7,1,3,4.8,150
Kurnai College,Churchill,65,36,262,243,169,55,93,NA,68,86,27,2.8,363,8,3,-20,28,40,-2,4,NA,-9,-4,0,1.8,38
Kurunjang Secondary College,Melton,42,22,112,80,53,74,96,NA,57,73,24,0,506,9,-1,-13,-3,-22,-10,-4,NA,0,11,2,-0.3,13
Kyabram P-12 College,Kyabram,33,20,113,100,33,64,98,NA,95,74,25,2.7,454,4,6,7,24,4,8,6,NA,14,16,1,2.3,42
Kyneton Secondary College,Kyneton,19,15,67,80,33,66,100,NA,97,93,26,1.3,428,-8,4,-13,-8,-5,-13,0,NA,-2,0,-1,-1.1,-49
Lakes Entrance Sec College,Lakes Entrance,14,9,32,37,22,46,100,NA,82,78,24,1.4,487,-4,1,-5,3,1,-47,0,NA,15,6,-4,-0.1,-153
Lakeside Lutheran College,Pakenham,20,6,61,35,NA,83,100,NA,81,NA,26,0.6,438,5,1,26,6,NA,-2,0,NA,-14,NA,-2,0.6,-97
Lakeview Senior College,Caroline Springs,56,27,387,172,85,90,98,2,92,95,28,4,297,-15,-9,-49,-23,-12,-3,1,-2,3,2,0,0.9,14
Lalor North Sec College,Epping,35,18,102,138,34,94,100,NA,82,60,23,0,518,-6,-4,10,-10,3,2,0,NA,-7,-30,-3,-1.6,-87
Lalor Secondary College,Lalor,44,21,182,60,71,88,100,2,81,87,27,1.9,378,3,2,32,4,24,-1,5,1,-6,-4,-2,-1.3,-107
Lara Secondary College,Lara,47,31,121,97,47,42,92,1,73,90,25,0,476,6,3,-18,10,-9,-9,0,NA,-8,7,2,-0.7,31
Lauriston Girls School,Armadale,33,9,117,17,NA,94,100,13,92,NA,35,26.2,19,-3,-1,24,1,NA,4,0,7,-5,NA,0,-3.5,6
Lavalla Catholic College,Traralgon,41,26,249,203,64,82,100,1,91,71,28,5.3,281,-9,0,-27,-21,19,7,1,-1,-6,-5,1,2.2,81
Lavers Hill K-12 College,Lavers Hill,20,14,14,31,NA,75,88,NA,90,NA,29,0,272,7,-1,-7,-35,NA,75,-12,NA,10,NA,3,0,173
Laverton P-12 College,Laverton,32,23,57,48,26,97,94,3,78,92,23,0.6,516,0,4,-4,-12,-15,15,-3,NA,3,18,0,0,-8
Leibler Yavneh College,Elsternwick,30,10,114,77,NA,100,100,8,81,NA,35,22.8,28,0,1,-10,-13,NA,2,0,4,-8,NA,0,-5.1,-2
Leongatha Secondary College,Leongatha,33,15,108,98,29,60,84,NA,73,70,25,1.6,462,-14,-3,-12,1,-7,-30,-8,NA,16,-14,-2,-4.1,-116
Lighthouse Christian College,Keysborough,29,3,57,5,NA,84,100,NA,49,NA,30,5.6,184,6,1,-2,-1,NA,-11,0,NA,-47,NA,1,1.2,68
Lighthouse Christian College,Cranbourne,23,1,84,Less than 4,NA,86,98,1,ID,NA,29,5.8,222,5,NA,-3,NA,NA,37,0,-4,NA,NA,-1,-3.2,-60
Lilydale Heights College,Lilydale,34,18,81,30,16,85,100,NA,79,97,24,0.4,498,-11,-3,0,-12,-13,-8,0,NA,12,6,-2,-0.5,-62
Lilydale High School,Lilydale,54,25,424,210,38,62,98,NA,81,87,28,3,315,-7,-1,-31,-12,NA,8,-1,NA,-3,NA,0,-0.2,-6
Little Yarra Steiner School,Yarra Junction,10,NA,17,NA,NA,41,100,NA,NA,NA,33,4.8,77,-3,NA,-3,NA,NA,25,0,NA,NA,NA,2,4.8,82
Loreto College,Ballarat,50,20,211,90,20,86,98,11,78,99,31,5.8,155,1,1,-5,8,-6,-3,-1,3,-5,5,0,-0.9,-8
Loreto Mandeville Hall,Toorak,36,4,245,Less than 4,NA,100,100,30,ID,NA,36,26.7,15,0,1,37,NA,NA,2,0,10,NA,NA,0,-0.3,0
Lorne P-12 College,Lorne,26,11,32,34,9,94,100,1,83,68,28,0,335,3,3,2,6,-1,-1,0,NA,-6,-9,1,0,73
Lowanna College,Newborough,38,20,147,127,45,39,91,NA,98,63,25,0.4,470,-5,-6,-39,-33,-21,-6,-6,NA,22,13,3,0.4,53
Lowther Hall Anglican GS,Essendon,33,5,108,180,NA,100,100,19,100,NA,34,22.2,40,2,1,-126,20,NA,0,0,5,0,NA,-2,-3,-18
Loyola College,Watsonia,53,21,264,140,42,88,99,13,91,98,30,3.7,206,-10,-2,-1,33,11,-2,-1,4,-3,-2,0,0,-3
Luther College,Croydon Hills,56,26,340,57,NA,90,100,6,92,NA,32,12.5,83,7,6,7,-3,NA,3,0,-5,-7,NA,0,3.1,19
Lynall Hall Community School,Richmond,16,10,42,34,31,50,83,NA,34,47,ID,ID,559,3,1,9,-2,-6,-25,-17,NA,-12,9,NA,NA,-2
